ITEMS,FOP,POSEM,NEGEM,FLOW,SELFDET,PERSEFF,STRENGTH
PE11,0.527,0.584,0,0,0,0,0
PE13,0.509,0.487,0,0,0,0,0
PE14,0.547,0.654,0,0,0,0,0
PE16,0.625,0.497,0,0,0,0,0
PE19,0.531,0.563,0,0,0,0,0
PE3,-0.248,0,0.705,0,0,0,0
PE5,-0.158,0,0.788,0,0,0,0
PE6,-0.199,0,0.812,0,0,0,0
PE10,-0.200,0,0.691,0,0,0,0
PE17,-0.310,0,0.627,0,0,0,0
Flux2,0.524,0,0,0.512,0,0,0
Flux5,0.606,0,0,0.606,0,0,0
Flux6,0.623,0,0,0.462,0,0,0
Flux7,0.600,0,0,0.634,0,0,0
Flux8,0.602,0,0,0.583,0,0,0
AD2,0.409,0,0,0,0.732,0,0
AD3,0.432,0,0,0,0.490,0,0
AD4,0.353,0,0,0,0.792,0,0
AD5,0.604,0,0,0,0.437,0,0
AD6,0.283,0,0,0,0.702,0,0
AD8,0.724,0,0,0,0.255,0,0
AD9,0.696,0,0,0,0.426,0,0
AD10,0.404,0,0,0,0.702,0,0
EfP2,0.639,0,0,0,0,0.246,0
EfP3,0.662,0,0,0,0,0.293,0
EfP6,0.615,0,0,0,0,0.585,0
EfP7,0.634,0,0,0,0,0.586,0
EfP8,0.672,0,0,0,0,0.586,0
UF2,0.482,0,0,0,0,0,0.561
UF3,0.669,0,0,0,0,0,0.505
UF4,0.476,0,0,0,0,0,0.606
UF6,0.598,0,0,0,0,0,0.444
